date,value
14-03-15,286.34
15-03-15,286.53
16-03-15,294.11
17-03-15,292.37
18-03-15,285.34
19-03-15,264.24
20-03-15,264.85
21-03-15,262.2
22-03-15,269.75
23-03-15,277.3
24-03-15,267
25-03-15,249.19
26-03-15,254.35
27-03-15,256.81
28-03-15,254.21
29-03-15,253.14
30-03-15,249.24
31-03-15,248.73
01-04-15,247.54
02-04-15,254.46
03-04-15,256.04
04-04-15,255.26
05-04-15,260.68
06-04-15,261.8
07-04-15,255.81
08-04-15,253.85
09-04-15,246.12
10-04-15,243.69
11-04-15,239.54
12-04-15,237.73
13-04-15,236.94
14-04-15,224.98
15-04-15,223.83
16-04-15,229.67
17-04-15,228.91
18-04-15,224.32
19-04-15,226.35
20-04-15,226.35
21-04-15,235.27
22-04-15,237.91
23-04-15,236.47
24-04-15,236.31
25-04-15,232.56
26-04-15,226.94
27-04-15,233.31
28-04-15,229.5
29-04-15,227.04
30-04-15,239.56
01-05-15,238.97
02-05-15,235.73
03-05-15,243.24
04-05-15,242.64
05-05-15,239.2
06-05-15,236.45
07-05-15,239.1
08-05-15,246.28
09-05-15,247.8
10-05-15,244.07
11-05-15,244.27
12-05-15,242.88
13-05-15,243.7
14-05-15,237.8
15-05-15,238.75
16-05-15,237.7
17-05-15,238.03
18-05-15,237.21
19-05-15,234.15
20-05-15,234.68
21-05-15,236.24
22-05-15,240.97
23-05-15,241.03
24-05-15,241.98
25-05-15,241.02
26-05-15,238.24
27-05-15,238.64
28-05-15,237.82
29-05-15,237.52
30-05-15,237.09
31-05-15,233.25
01-06-15,231.71
02-06-15,226.42
03-06-15,227.4
04-06-15,226.58
05-06-15,225.97
06-06-15,225.72
07-06-15,226.19
08-06-15,229.46
09-06-15,230.95
10-06-15,229.78
11-06-15,230.29
12-06-15,231.06
13-06-15,232.65
14-06-15,234.86
15-06-15,237.84
16-06-15,251.74
17-06-15,256.85
18-06-15,252.11
19-06-15,250.98
20-06-15,245.83
21-06-15,245.22
22-06-15,247.92
23-06-15,247.3
24-06-15,244.34
25-06-15,243.33
26-06-15,243.75
27-06-15,251.34
28-06-15,251.17
29-06-15,257.17
30-06-15,267.87
01-07-15,265.17
02-07-15,261.63
03-07-15,257.08
04-07-15,261.46
05-07-15,274.51
06-07-15,277.42
07-07-15,271.34
08-07-15,272.97
09-07-15,272.33
10-07-15,294.59
11-07-15,298.51
12-07-15,314.39
13-07-15,310.95
14-07-15,296.15
15-07-15,293.25
16-07-15,291.18
17-07-15,280.28
18-07-15,282.53
19-07-15,275.67
20-07-15,278.98
21-07-15,280.55
22-07-15,277.67
23-07-15,278.11
24-07-15,289.25
25-07-15,290.73
26-07-15,293.05
27-07-15,297.77
28-07-15,296.65
29-07-15,294.54
30-07-15,290.13
31-07-15,288.96
01-08-15,284.93
02-08-15,283.03
03-08-15,285.47
04-08-15,285.71
05-08-15,285.5
06-08-15,281.91
07-08-15,280.39
08-08-15,279.93
09-08-15,267
10-08-15,267.03
11-08-15,270.39
12-08-15,270.67
13-08-15,266.23
14-08-15,267.47
15-08-15,266.67
16-08-15,262.44
17-08-15,260.5
18-08-15,257.99
19-08-15,237.41
20-08-15,237.37
21-08-15,236.43
22-08-15,234.96
23-08-15,232.71
24-08-15,228.14
25-08-15,226.32
26-08-15,231.18
27-08-15,228.64
28-08-15,235.22
29-08-15,233.22
30-08-15,232.07
31-08-15,231.96
01-09-15,231.22
02-09-15,230.58
03-09-15,229.6
04-09-15,230.9
05-09-15,236.14
06-09-15,242.91
07-09-15,242.11
08-09-15,245.78
09-09-15,244.42
10-09-15,241.29
11-09-15,241.17
12-09-15,240.12
13-09-15,235.94
14-09-15,232.44
15-09-15,259.18
16-09-15,231.22
17-09-15,230.28
18-09-15,234.35
19-09-15,233.21
20-09-15,232.37
21-09-15,231.22
22-09-15,232.39
23-09-15,231.84
24-09-15,235.65
25-09-15,237.43
26-09-15,235.4
27-09-15,234.53
28-09-15,239.34
29-09-15,239.8
30-09-15,237.73
01-10-15,238.44
02-10-15,238.54
03-10-15,239.31
04-10-15,238.97
05-10-15,240.38
06-10-15,246.94
07-10-15,246.68
08-10-15,244.25
09-10-15,244.23
10-10-15,245.32
11-10-15,247.24
12-10-15,247.45
13-10-15,250.24
14-10-15,254.28
15-10-15,255.96
16-10-15,266.13
17-10-15,273.58
18-10-15,271.67
19-10-15,264.82
20-10-15,270.83
21-10-15,270.77
22-10-15,276.51
23-10-15,278.68
24-10-15,281.71
25-10-15,294.06
26-10-15,285.3
27-10-15,296.21
28-10-15,306.33
29-10-15,318.17
30-10-15,334.17
31-10-15,332.78
01-11-15,327.47
02-11-15,365.36
03-11-15,417.9
04-11-15,495.56
05-11-15,447.56
06-11-15,395.84
07-11-15,390.59
08-11-15,389.89
09-11-15,385.28
10-11-15,381.39
11-11-15,340.58
12-11-15,345.08
13-11-15,340.91
14-11-15,338.18
15-11-15,334.66
16-11-15,331.63
17-11-15,338.35
18-11-15,336.53
19-11-15,335.33
20-11-15,326.47
21-11-15,328.16
22-11-15,327.01
23-11-15,325.12
24-11-15,323.06
25-11-15,329.13
26-11-15,366.76
27-11-15,363.59
28-11-15,359.54
29-11-15,371.94
30-11-15,382.36
01-12-15,378.93
02-12-15,362.23
03-12-15,370.27
04-12-15,363.52
05-12-15,389.79
06-12-15,402.81
07-12-15,399.97
08-12-15,415.56
09-12-15,423.12
10-12-15,419.51
11-12-15,451.94
12-12-15,469.1
13-12-15,441.68
14-12-15,447.14
15-12-15,465.32
16-12-15,465.21
17-12-15,457.86
18-12-15,465.18
19-12-15,465.58
20-12-15,462.64
21-12-15,444.73
22-12-15,443.69
23-12-15,444.53
24-12-15,458.46
25-12-15,458.31
26-12-15,457.49
27-12-15,424.01
28-12-15,429.77
29-12-15,432.98
30-12-15,434.39
31-12-15,432.92
01-01-16,436.25
02-01-16,436.06
03-01-16,433.74
04-01-16,434.52
05-01-16,434.18
06-01-16,431.86
07-01-16,458.77
08-01-16,462.93
09-01-16,454.64
10-01-16,448.31
11-01-16,450.66
12-01-16,448.18
13-01-16,435.19
14-01-16,433.32
15-01-16,430.25
16-01-16,390.56
17-01-16,390.96
18-01-16,388.1
19-01-16,387.73
20-01-16,425.27
21-01-16,422.88
22-01-16,410.41
23-01-16,394.54
24-01-16,405.49
25-01-16,402.32
26-01-16,397.77
27-01-16,396.84
28-01-16,395.5
29-01-16,384.38
30-01-16,380.92
31-01-16,380.35
01-02-16,378.07
02-02-16,375.88
03-02-16,374.95
04-02-16,391.61
05-02-16,391.09
06-02-16,386.63
07-02-16,380.87
08-02-16,379.88
09-02-16,377.25
10-02-16,385.48
11-02-16,383.13
12-02-16,384.95
13-02-16,391.86
14-02-16,407.23
15-02-16,410.38
16-02-16,408.94
17-02-16,421.17
18-02-16,426
19-02-16,423.1
20-02-16,441.98
21-02-16,448.05
22-02-16,439.05
23-02-16,439.86
24-02-16,425.55
25-02-16,427.72
26-02-16,432.15
27-02-16,434.23
28-02-16,435.68
29-02-16,441.51
01-03-16,439.65
02-03-16,435.92
03-03-16,425.37
04-03-16,425.18
05-03-16,411.26
06-03-16,411.91
07-03-16,415.92
08-03-16,416.24
09-03-16,416.03
10-03-16,417.51
11-03-16,423.93
12-03-16,421.8
13-03-16,416.6
14-03-16,416.68
15-03-16,418.13
16-03-16,417.69
17-03-16,421
18-03-16,420.55
19-03-16,410.98
20-03-16,414.63
21-03-16,413.42
22-03-16,418.38
23-03-16,419.27
24-03-16,418.68
25-03-16,418.08
26-03-16,418.99
27-03-16,428.8
28-03-16,426.86
29-03-16,426.2
30-03-16,416.83
31-03-16,418.37
01-04-16,418.17
02-04-16,422.08
03-04-16,421.58
04-04-16,422.34
05-04-16,424.26
06-04-16,424.53
07-04-16,423.66
08-04-16,425.36
09-04-16,420.89
10-04-16,422.44
11-04-16,422.74
12-04-16,427.28
13-04-16,426.66
14-04-16,425.37
15-04-16,429.93
16-04-16,432.63
17-04-16,431.37
18-04-16,429.27
19-04-16,436.02
20-04-16,443.05
21-04-16,450.55
22-04-16,449.81
23-04-16,450.28
24-04-16,460.15
25-04-16,466.62
26-04-16,467.96
27-04-16,467.08
28-04-16,449.55
29-04-16,455.38
30-04-16,455.59
01-05-16,452.48
02-05-16,452.44
03-05-16,451.1
04-05-16,450.38
05-05-16,448.51
06-05-16,461.38
07-05-16,460.68
08-05-16,459.42
09-05-16,462.48
10-05-16,461.93
11-05-16,454.58
12-05-16,454.95
13-05-16,457.06
14-05-16,456.84
15-05-16,458.69
16-05-16,458.2
17-05-16,455.07
18-05-16,456
19-05-16,454.63
20-05-16,444.05
21-05-16,443.78
22-05-16,443.43
23-05-16,444.35
24-05-16,447.1
25-05-16,450.3
26-05-16,453.64
27-05-16,478.15
28-05-16,533.47
29-05-16,553.96
30-05-16,544.35
31-05-16,546.62
01-06-16,543.08
02-06-16,540.35
03-06-16,574.64
04-06-16,590.13
05-06-16,582.81
06-06-16,586.47
07-06-16,590.26
08-06-16,582.84
09-06-16,582.2
10-06-16,579.13
11-06-16,607.12
12-06-16,684.84
13-06-16,716
14-06-16,704.5
15-06-16,696.3
16-06-16,773.72
17-06-16,775.36
18-06-16,777.99
19-06-16,766.62
20-06-16,764.08
21-06-16,735.88
22-06-16,678.67
23-06-16,629.33
24-06-16,681.73
25-06-16,691.73
26-06-16,665.98
27-06-16,655.27
28-06-16,659.25
29-06-16,644.68
30-06-16,675.4
01-07-16,686.15
02-07-16,703.7
03-07-16,704.97
04-07-16,683.66
05-07-16,683.49
06-07-16,681.9
07-07-16,682.43
08-07-16,666.71
09-07-16,666.38
10-07-16,652.29
11-07-16,659.63
12-07-16,675.26
13-07-16,668.7
14-07-16,662.9
15-07-16,667.08
16-07-16,666.46
17-07-16,682.37
18-07-16,681.55
19-07-16,673.28
20-07-16,672.93
21-07-16,666.22
22-07-16,666.58
23-07-16,656.37
24-07-16,663.11
